Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Lagoa;2;1;1;100;3800.0;950.0;0.0;38.0;Apartamento
Apartamento;Ipanema;2;1;0;85;3000.0;760.0;80.0;35.29;Apartamento
Apartamento;Praça da Bandeira;2;1;1;61;1400.0;741.0;0.0;22.95;Apartamento
Apartamento;Barra da Tijuca;2;2;1;65;1800.0;593.0;54.0;27.69;Apartamento
Apartamento;Vila da Penha;2;0;0;60;1200.0;253.0;0.0;20.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;84;2000.0;810.0;0.0;23.81;Apartamento
Apartamento;Flamengo;2;0;0;75;2400.0;635.0;119.0;32.0;Apartamento
Casa;Campo Grande;2;0;0;70;1100.0;0.0;0.0;15.71;Casa
Apartamento;Laranjeiras;3;1;0;100;3100.0;901.0;184.0;31.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;69;1500.0;752.0;149.0;21.74;Apartamento
Apartamento;Leme;1;0;0;65;3000.0;590.0;90.0;46.15;Apartamento
Apartamento;Barra da Tijuca;1;1;1;71;2500.0;1756.0;192.0;35.21;Apartamento
Apartamento;Copacabana;2;0;0;74;2000.0;900.0;132.0;27.03;Apartamento
Apartamento;Grajaú;1;0;1;73;2000.0;600.0;100.0;27.4;Apartamento
Apartamento;Leblon;2;1;0;70;3800.0;700.0;100.0;54.29;Apartamento
Apartamento;Leblon;2;1;0;96;4500.0;750.0;0.0;46.88;Apartamento
Apartamento;Ramos;2;0;0;75;1200.0;250.0;0.0;16.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;82;1400.0;620.0;0.0;17.07;Apartamento
Apartamento;Copacabana;4;1;0;100;3200.0;1022.0;0.0;32.0;Apartamento
Apartamento;Botafogo;2;1;0;65;2950.0;600.0;102.0;45.38;Apartamento
Apartamento;Tijuca;2;1;1;92;2900.0;907.0;0.0;31.52;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;1700.0;549.0;212.0;18.89;Apartamento
Apartamento;Copacabana;2;0;0;80;2400.0;995.0;180.0;30.0;Apartamento
Casa de Vila;Méier;3;1;1;80;2300.0;0.0;0.0;28.75;Casa
Apartamento;Maracanã;2;1;1;70;1300.0;766.0;110.0;18.57;Apartamento
Apartamento;Jacarepaguá;2;1;0;60;1000.0;590.0;20.0;16.67;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;91;1900.0;550.0;0.0;20.88;Apartamento
Apartamento;Ipanema;2;1;1;82;15000.0;4000.0;5918.0;182.93;Apartamento
Apartamento;Leblon;2;1;1;98;4500.0;1637.0;0.0;45.92;Apartamento
Apartamento;Tanque;1;1;1;64;900.0;470.0;15.0;14.06;Apartamento
Apartamento;Leblon;2;1;1;80;8000.0;2279.0;0.0;100.0;Apartamento
Apartamento;Botafogo;3;2;1;86;3700.0;815.0;139.0;43.02;Apartamento
Apartamento;Tijuca;2;1;0;66;2300.0;125.0;531.0;34.85;Apartamento
Apartamento;Vila Isabel;2;1;0;70;1600.0;750.0;60.0;22.86;Apartamento
Casa;Campo Grande;3;1;0;100;1500.0;0.0;0.0;15.0;Casa
Apartamento;Ipanema;3;1;0;80;3500.0;1000.0;204.0;43.75;Apartamento
Apartamento;Anil;2;1;1;65;1500.0;367.0;0.0;23.08;Apartamento
Apartamento;Botafogo;2;1;1;84;5000.0;1107.0;210.0;59.52;Apartamento
Casa;Pilares;2;0;0;65;800.0;0.0;0.0;12.31;Casa
Apartamento;Recreio dos Bandeirantes;3;1;1;81;1900.0;1014.0;80.0;23.46;Apartamento
Apartamento;Barra da Tijuca;3;2;1;98;2800.0;1520.0;110.0;28.57;Apartamento
Apartamento;Tijuca;2;0;0;70;1600.0;850.0;84.0;22.86;Apartamento
Apartamento;Taquara;3;1;1;64;1200.0;590.0;546.0;18.75;Apartamento
Apartamento;Cachambi;3;1;0;77;1300.0;420.0;25.0;16.88;Apartamento
Apartamento;Andaraí;1;2;0;67;1500.0;522.0;104.0;22.39;Apartamento
Apartamento;Leblon;2;1;1;70;5500.0;2000.0;400.0;78.57;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;68;1500.0;1025.0;112.0;22.06;Apartamento
Apartamento;Humaitá;1;1;0;60;3200.0;614.0;250.0;53.33;Apartamento
