Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0
Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618.0;338.0
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0
Casa;Engenho Novo;2;0;0;70;1100.0;;
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;
Apartamento;Irajá;2;1;0;65;1100.0;255.0;
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0
Apartamento;Penha;2;0;0;64;950.0;180.0;
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;
Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0
Casa;Campo Grande;2;1;2;100;1500.0;;30.0
Apartamento;Laranjeiras;2;0;0;85;2100.0;700.0;95.0
Apartamento;Rio Comprido;2;1;0;69;1900.0;600.0;70.0
Casa;Vargem Grande;2;1;0;70;1900.0;580.0;25.0
Apartamento;Copacabana;2;0;0;81;3000.0;770.0;159.0
Apartamento;Barra da Tijuca;2;1;1;88;2400.0;1313.0;
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650.0;
Casa de Condomínio;Tanque;2;0;1;100;1500.0;160.0;80.0
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;
Apartamento;Leblon;3;1;0;74;3300.0;700.0;83.0
Apartamento;Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0
Apartamento;Barra da Tijuca;2;1;0;70;2400.0;1800.0;150.0
Apartamento;Inhaúma;3;1;0;60;750.0;236.0;
Apartamento;Pechincha;2;1;0;65;950.0;640.0;126.0
Apartamento;Leblon;2;0;0;100;3800.0;900.0;195.0
Apartamento;Grajaú;3;2;1;90;2950.0;700.0;100.0
